Camp,–õ–∏–¥,–ö–æ–ª–∏–¥,LNT,–ï—Å—Ç—å –æ–ø–∏—Å–∞–Ω–∏–µ,–û–ø–∏—Å–∞–Ω–∏–µ,–†–∞—Å–ø–∏—Å–∞–Ω–∏–µ,–°—Å—ã–ª–∫–∞
Полянка,@galaguzka,,@looteranka,,"Ветер Трамонтаны принес в наш лес споры удивительных созданий.. их обволакивающий мицелий захватил целую лесную Полянку 👀 
Всё тут теперь вращается вокруг реальных, мистических и воображаемых грибов - они так жаждут с вами подружиться !🍄‍🟫 
А ещё это пространство для медитативного чилаута  в единении с природой, где на каждом шагу вас ждут новые впечатления и эксперименты 🫟

🎬 Ночной кинотеатр, где вы найдете нетривиальную анимацию , довольно впечатляющие и порой странные кинокартины, а также некоторые документальные шедевры 

🫖 Лесной Типпи , где мастер бережно накрывает одеялом из чайных состояний и неспешных бесед 

🪄 Крафт - станция , где можно выгулять своего творца . Придумать своего слизня , нарисовать тотемного жука , создать дискогриб и ботанический стикерпак 

🍹Бар под грибом удивит селекцией жидких экстрактов и сытными  спэшл-полдниками 

💃🏻Грибная костюмерная , где можно потеряться и найти себя заново. Возможно, в чем-то мохнатом, блестящем или светящемся .. а может и просто себя и своё истинное обличие

🪾Органический своп коряг и окаменелостей, где можно поменять свои ахуенные палки и камни на ещё более ахуенные ! Привози на Ветерок свою коллекцию и стань частью этого круговорота

🍜 А ещё они приготовили для тебя грибной сюрприз - приходи в первую полночь со своей тарелкой и ложкой ! 
 
В этой лесной чаще ходит легенда … будто с наступлением ночи грибы уходят искать заплутавших грибников … а может и ты один из них? 👣","13.07:
19:00 - 21:00 (Типпи) Чайное приветствие от мастера ☕️ 
21:00- 22:00 (Бар) Открытие и презентация грибных напитков 🍹 
22:00 - 23:00 А куда ушли грибы ? 🍄‍🟫 

14.07:
00:00 - 01:00 (Бар) Полночный суп ! 💘
00:00 - 3:00 Грибной кинотеатр 👀 
00:00 - 3:00 (Бар) Грибные  напитки 🍸 
01:00 - 3:00 (Типпи) Ночная чайная церемония 🫖 
12:00 - 13:00 (Бар) Бодрый кофий под грибом 🍄 
12:00 - 14:00 (Типпи) Утренний чайный морнинг ☕️ 
13:00 - 15:00  (Шатер) Мастер -класс  Buddy - Слизень 💞
13:00 -15:00 (Бар)  комбуча + tea to go  🍹 
15:00 - 16:0 ( Бар) Грибной полдник 🥘 
16:00 - 18:00 (Шатер) мастер -класс  Дискогриб 🪩 
16:00 - 18:00 (Бар) комбуча + tea to go 🍹
16:00 - 18:00 (Типпи) Церемония + Грибные шахматы ТУРНИР ♟️ 
22:00 - 23:00 А куда ушли грибы ?  🍄‍🟫 
23:00 - 4:00  Грибной кинотеатр 👀
23:00 - 4:00 (Бар) Грибные  напитки 🍸

15:07:
00:00 - 2:00 (Типпи) Ночная чайная церемония 🫖 
12:00 - 13:00 (Бар) Бодрый кофий под грибом 🍄 
12:00 - 14:00 (Типпи) Утренний чайный морнинг ☕️ 
13:00–15:00 (Шатер) Мастер-класс DIY Стикеры 🫟
13:00 -15:00 (Бар)  комбуча + tea to go  🍹 
15:00 - 16:0 ( Бар) Грибной полдник 🥘 
16:00 - 18:00 (Шатер) Мастер-класс Тотемный жук на спиле 🪲
16:00 - 18:00 (Бар) комбуча + tea to go 🍹
16:00 - 18:00 (Типпи) Церемония + Грибные татуировки 🖤 
22:00 - 23:00 А куда ушли грибы ?  🍄‍🟫 
23:00 - 4:00  Грибной кинотеатр 👀
23:00 - 4:00 (Бар) Грибные  напитки 🍸

16.07
00:00 - 2:00 (Типпи) Ночная чайная церемония 🫖",
GANZI,@bvs707,@nicksolfix,@PaulineRoonna,Да,"Кемп Ganzi (განძი) — место для тех, кто ценит настоящее.
Слово Ganzi переводится как «сокровище» — то, что мы часто ищем снаружи, не замечая, что оно уже внутри нас.

Это не просто кемп, а точка притяжения для тех, кто хочет вернуться к себе, почувствовать силу и встретить близких по духу.
Здесь делятся вниманием, теплом и заботой — щедро и искренне, как самым дорогим.
Это уголок, где ищешь медь, а обретаешь золото.

Ganzi — остров искреннего гостеприимства:
 • чайная зона для неспешных разговоров
 • уютный кальян
 • бар с вином и коктейлями
 • танцпол с хорошим звуком и отличными диджеями

Смеяться, молчать, танцевать, сидеть у костра, просто быть — здесь тебе рады.
Добро пожаловать домой — в кемп Ganzi.","⏰ Расписание активности в Ganzi Camp
(максимально точное, но оставляющее место для магии)

— Бар работает с 18:00 до 00:00 — вечерние коктейли, домашнее вино и разговоры под закат
— Музыка с 20:00 до 06:00 — наш танцпол оживает с наступлением темноты и качает до первых лучей
— Чайная с 14:00 до 22:00 — каждый час церемония нового чая, а ещё — тайные активности, о которых знают только те, кто окажется рядом
— Кострище — каждую ночь место силы, тепла и обмена настоящим

🔥 Церемония сожжения — вечером 16 июля
В этот вечер мы сожжём Феникса — символ возрождения, силы и свободы. Вместе с ним сгорит дерево с пожеланиями, на котором будут записки, чувства, воспоминания и то, что каждый готов отпустить. Это будет красиво, глубоко и по-настоящему.

🎭 Днём — возможно, практики, мастер-классы и спонтанные перформансы. Оповещения будут в рациях и через наше живое радио.

🌬️ А ещё — к нам всегда можно просто прийти. Без причины. Почиллить днём, посидеть у костра ночью. У нас всегда открыто. Всегда по любви.",
Аревик (Солнышко),@Gavrila_Tzap,@MarishPlohish,@AlikBurner,Да,"Каждую ночь Солнышко опускается на плаю, чтобы подарить всем желающим прикосновение к свету. В вечерних  сумерках Жрицы солярного культа проводят ритуалы поклонения небесному огню, а Операторы фотонов помогают управлять протуберанцами. Внутри Солнечного купола всю ночь можно играть с интерактивными арт-объектами, вести беседы о природе света, крафтить лампы и создавать фотограммы под ультрафиолетом, а под утро участвовать в ритуальных медитациях, неспешно любуясь рассветом на расстоянии вытянутой руки.",,
Бойцовский клуб,@NikitaPankin,,@moorzeena,Да,"Мы Кемп Бойцовский клуб- на ветерок мы везем активность Песнь о Ньюбелунгах- везде куда мы приходим начинается приключение, мы несем с собой вайб Рыцарской романтики, и магию средневековья. Наше дарение- это легендарные впечатления, и уникальная возможность почувствовать себя персонажем славной саги!","17:00-19:00 будем устраивать квесты и игры для всех желающих, ловить праздно гуляющих и вовлекать их в эпическое приключение
19:00 будем проводить испытание дня- турнир по фехтованию, состязание бардов, или круг игр
20:00 а точнее на закате будем устраивать пир героев, угощать всех медом и вином, и делиться историями и сплетнями, ночью каждый из нас может выдать любому встречному особое задание связанное с другими участниками или кемпами, за которое, как и за всякий квест полагается царская награда, и в промежутках между шифтами будем разносить новости поля, облекая их в стихотворную форму и делая милую байку- эпической сагой",
Индейское лето,@vteploo,@prosto_smile,@prosto_smile,Да,"Индейское лето

Укромный сказочный уголок, спрятанный от шумного фестиваля в ветвях деревьев. Врата из коряг будто манят в мир светлой мудрости и контакта с природой. Входя в типи, попадаешь в уютное, но таинственное пространство. Запах пряных трав, приглушённый свет, узоры-обереги на стенах - всё пропитано присутствием духов леса и домашнего очага. Хозяин встречает и приглашает сесть в круг - испробовать загадочные яства и рассказывать истории. В центре - магический камень, источающий тёплый и мягкий свет. Кто-то играет на варгане, с другого конца подхватывает шум дождя или гулкий ханг. Вокруг множество инструментов - садись и включайся в музыкальный поток! А можешь слепить свои чувства из тёплого воска, нарисовать или выложить мандалу из листочков, коры и ракушек. Наше типи - пространство, где в тихих беседах и бешеных плясках мы будем созерцать свои чувства и выражать их в звуках, образах и тонких ассоциациях. Для наших гостей мы станем проводниками в мир индейских сказок и природной искренности. Ждём вас!

Йоххууу!!","Расписание

13.07:
20:00 - Ритуал открытия Индейского лета

14.07:
16:00 - Ритуал заботы о ручках после монтажа
18:00 - Создание природных мандал и индейских украшений
21:00 - Дикий джем на этнических инструментах - бесимся и отрываемся
После 22:30 - Чилл и болтовня под экзотические напитки

15.07:
19:00 - Практика «Индейские имена» - Назовем красиво свои таланты, фишки и приколы, добавим им эпичности
После сожжения (ориентировочно 23:00) - Свободный джем на этнических инструментах и встреча нового дня
00:00 - Индейские сказки и таинственные угощения в награду за рассказанные истории

16:07:
В первой половине дня - Чилл",
КОЦИКИ tattoo point,@chill_chilitattoo,@Zoia_Raido,@Anaseal,Да,"TATTO POINT «КОЦИКИ»
Не боишься иголок, адепт чернил под кожей, хочешь стать холстом для художника?
Мы, мастера линии, собрались вместе, чтобы дарить тебе свои сокровенные мысли, оформленные в эскизы, которые станут частью тебя.
Неон затухнет. Музыка стихнет.
Но этот след останется с тобой.
Навсегда.
Или хотя бы на пару жизней. 
Иглы заточены.
Ты готов?","Активное время: 12:00 - 21:00
КОЦИКИ - это дневная/вечерняя локация. Мастера будут рады принять вас с 12 часов дня до 21 часа вечера. Поочередно будут работать разные художники, каждый в своем особом авторском стиле. Так же на локации запланированы тихие творческие активности для небольшой компании гостей.",
Шампанерия,@nebu_chan,@goreloek,@Kuturyanchik,Да,"Описание - пузырики, музыка, рассвет, неторопливые разговоры
Сетка активностей - вот это всё с 04:20 и пока льётся просекко",Каждую ночь с 4:20,
Slavik Hugs,@julsy_ju ,@daphnezaytseva,@evhandel,Да,"Slavic Hugs Camp 

Многие из нас сейчас далеко от дома — по разным причинам и с разными чувствами.
Но с каждым днём становится всё яснее: дом — это не страна, не квартира, не география. Дом — это состояние.

Это когда тебя понимают без слов.
Когда можно выдохнуть.
Когда тебя обнимают не потому что надо — а потому что хочется.

Slavic Hugs Camp — это тихое, безопасное пространство, где можно распаковать душу, не натягивая улыбку и не играть роли.
Мы просто понимаем.
Потому что сами такие.
Потому что это про нас.

✨ Поиск ""цветка папоротника""
Ночью среди кустов прячутся маленькие светящиеся символы.
Ищи свой цветок — и приноси его в лагерь как знак желания.
Немного волшебства, которое ты создаёшь сам.

🌿 Венки и куклы из сена
Творческое пространство.
Плетём венки и делаем кукол из тряпочек, сена и бечёвки.
Тепло рук, немного тишины — и что-то живое рождается прямо у тебя в ладонях.

🥞 Блины с вареньем
Блины по расписанию, с вареньем и душевностью.
Традиция, которая делает нас ближе и создаёт ощущение настоящего дома.

🔔 Жмурки с колокольчиками
Весёлая игра: с завязанными глазами нужно найти “звонкий” источник.
Это движение, веселье и телесный контакт без давления.

💞 Обнимашки и хороводы
Уютное пространство, где можно обнять любого желающего.
Хороводы под музыку — чтобы почувствовать единство.

🍎 Блюдечко с яблочками
Тарелка с бумажными яблочками — внутри тёплые пожелания и предсказания.
Выбираешь одно — и получаешь знак.

🍵 Чайная “по настроению”
Чай как ритуал заботы.
Липа, мята, чабрец — травы подбираются “по душе” и подаются с вареньем, баранками и тёплым взглядом.

📬 Письма себе “на потом”
Зона, где можно написать письмо себе в будущее.
Через 3 месяца мы отправим его обратно — как напоминание о том, кем ты был(а) и что чувствовал(а) здесь.

🎲 Настолки и сказки
UNO, ""дурак"", сказки на ночь и аудиосказки — для тех, кто хочет почувствовать себя в детстве.
Просто, тихо и по-настоящему.

Блины с вареньем
Мы печём блины по расписанию и угощаем гостей.
Для создания уюта и ощущения настоящего дома.","Блины
🥞 Каждый день
🕙 10:00 – 12:00

Куклы из сена и венки
🌾
 • День 1 — плетём венки
 • День 2 и 3 — делаем кукол
🕐 13:00 – 15:00

Карты и настольные игры
🎲 Каждый день
🕒 Играем, пока есть места

Хороводы и частушки
🎶 Каждый день
🕕 18:00 – 19:00

Жмурки
🙈 Каждый день
🕘 21:00 – 22:30

Ищите цветки папоротника
✨ Вечером — будут спрятаны светящиеся цветочки

Письмо себе
💌 Каждый день в любое время",
Q.E.D.,@mioulin,@mp3,@mioulin,Да,"Академия Q.E.D
Академия Q.E.D.
- это научно-образовательное пространство исследующее
человеческое сознание.
Мы - небольшая команда ученых с опытом в физике, вычислительной нейронауке,
компьютерном зрении и теории игр. Наша миссия не просто делиться знаниями, но и
создавать живые, вовлекающие форматы для изучения работы мозга.
Мы предлагаем насыщенную программу лекций, дискуссий, перформативных научных
демонстраций, исследовательских игр и дыхательных практик. Все активности
выстроены вокруг принципов безопасности, научной добросовестности и этики.
Академия Q.E.D - это место, где рождаются новые знания и инсайты.","День 1: 
18:00 – 18:30 - Знакомство и презентация кемпа: концепция, участники, цели
18:30 – 19:45 – Лекция Нейробиология психоделиков. Как работают психоделики на уровне мозга: рецепторы, сети, сознание. Простым 
языком о сложном. 
19:45 – 20:30 – Лекция Психоделическая терапия. Что это вообще такое? История, теория, практика
20:30 – 21:00 - Панельная дискуссия с экспертами. Обсуждаем психоактивные вещества 
21:00 – 21:30 - Просмотр авторского мини-фильма «BrainWalk» (10 мин), Фильм демонстрирует ключевые идеи современной нейронауки

День 2:
15:30 – 16:00 - Инструктаж по работе с EXP2BRAIN. Интерактивный научно-художественный проект, в котором мы воссоздает активность мозга 
на основе субъективного опыта.
16:00 – 17:00 - Демонстрация авторской игры «5HT2A». Интерактивное исследование восприятия и взаимодействия с психоделическим 
опытом.
17:00 – 18:00 - Лекция:«Безопасная вечеринка: как снизить риски». О сознательном употреблении веществ на фестивалях: взаимодействия, противопоказания, care-сценарии.
19:45 – 20:30 - Панельная дискуссия с экспертами.  Часть 1: Разбор реальных кейсов по сочетанию веществ . Часть 2: Влияние психоактивных веществ на психофармакологические препараты 
(нейролептики, антидепрессанты и др.)
21:00 – 00:00 Практический воркшоп «Холотропное дыхание». Мягкое, но глубокое путешествие к себе через дыхание. Безопасный способ войти в изменённое состояние. Возьмите с собой коврик, плед, воду и открытость к внутреннему исследованию (количество мест ограничено).

День 3
16:30 – 17:00 - Инструктаж по работе с EXP2BRAIN. Интерактивный научно-художественный проект, в котором мы воссоздает активность мозга 
на основе субъективного опыта.
17:00 – 17:30 Демонстрация авторской игры «5HT2A». Интерактивное исследование восприятия и взаимодействия с психоделическим 
опытом.
17:30 – 18:30 - Просмотр авторского мини-фильма «BrainWalk» (10 мин), Фильм демонстрирует ключевые идеи современной нейронауки
18:30 – 19:30 - Лекция «Как мозг воспринимает музыку?». Обсудим, как музыкальные 
паттерны воздействуют на сети мозга, эмоции и восприятие в изменённых состояниях сознания
19:30 – 20:00 - Практические музыкальные тесты. Эксперименты с музыкой, жанрами 
и эмоциями. 
",
exit,@Arturmoregorbl,@moregorbl,@Arturmoregorbl,Да,"Арт объект. Находится в локации с тэмпл.перед пирсом из бамбука.будет некий спиралевидный конструктив по типу портала.инсталяция с черепами,цветами и гирляндами.
Пройдя сквозь символический объек, из символов живого и мертвого, на пирс, человек может прочувствовать разные уровни восприятия своей жизни и жизни в целом. Место где можно замедлиться.
Активность - все оказавшиеся в тэмпл, определено заинтересуются пройти сквозь.и вернутся)",,
Параненормальные,@meilakh,@prosto_prots,@meilakh,Да,"Земляны! Мы попали на вашу планету неслучайно. Мы исследуем территорию Ветерка и ненормальных человеческих особей. У нас есть вопросы к каждому, мы подозреваем всех. Чтение мыслей, оценка уровня эктоплазмы, обрезание износившейся ауры, коллективная передача сигналов на нашу планету.       Мы докажем всем, что земля плоская и что вашего мэна строили инопланетяне. 

В Центре Изучения Человечества (ЦИЧ) мы проведем эксперименты и исследования выбранных особей землян.",,
Последний вагон,@YosefBatman,,,Да,"Musée du Hooyuvre — это храм странного, где искусство задаёт вопросы, на которые не должно быть ответов. Главное правило Hooyuvre: если ты не понял, значит, ты на правильном пути. Улыбка, недоумение и лёгкое чувство внутреннего беспокойства — идеальная реакция на экспонаты.",Арт объект доступен всегда,